Date,Open,High,Low,Close
Jan-21,"6,460.52",6903.61,6397.24,6407.46
Feb-21,"6,407.46",6799.92,6407.46,6483.43
Mar-21,"6,483.43",6812.78,6483.43,6713.63
Apr-21,"6,713.63",7040.26,6713.63,6969.81
May-21,"6,969.81",7164.18,6823.60,7022.61
Jun-21,"7,022.61",7217.54,6948.63,7037.47
Jul-21,"7,037.47",7170.60,6813.03,7032.3
Aug-21,"7,032.30",7224.46,6993.06,7119.7
Sep-21,"7,119.70",7195.62,6828.28,7086.42
Oct-21,"7,086.42",7281.17,6945.50,7237.57
Nov-21,"7,237.57",7402.68,6989.66,7059.45
Dec-21,"7,059.45",7457.14,7059.35,7384.54
